period,time,player,action_code,side,score_home,score_away,homeplayer1,homeplayer2,homeplayer3,homeplayer4,homeplayer5,awayplayer1,awayplayer2,awayplayer3,awayplayer4,awayplayer5
1,09:46,"MIRKOVIC, ZIVKO",3PA,U18 Partizan Mozzart Bet Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:43,"STOJKOVIC, LAZAR",DREB,U18 Crvena Zvezda Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:29,"LUCIC, ANDREJ",3PA,U18 Crvena Zvezda Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:26,"COPIC, MILOS",OREB,U18 Crvena Zvezda Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:19,"MIRKOVIC, ZIVKO",PF,U18 Partizan Mozzart Bet Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:19,"STOJKOVIC, LAZAR",PFRec,U18 Crvena Zvezda Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:08,"COPIC, MILOS",3PA,U18 Crvena Zvezda Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,09:05,"ISAILOVIC, STEFAN",DREB,U18 Partizan Mozzart Bet Belgrade,0,0,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:57,"MIJAILOVIC, UROS",2PM,U18 Partizan Mozzart Bet Belgrade,0,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:28,"STOJKOVIC, LAZAR",2PA,U18 Crvena Zvezda Belgrade,0,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:23,"PRELEVIC, MATIJA",DREB,U18 Partizan Mozzart Bet Belgrade,0,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:09,"PRELEVIC, MATIJA",2PA,U18 Partizan Mozzart Bet Belgrade,0,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,08:07,"STOJKOVIC, LAZAR",DREB,U18 Crvena Zvezda Belgrade,0,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,07:55,"COPIC, MILOS",2PM,U18 Crvena Zvezda Belgrade,2,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,07:54,"LUCIC, ANDREJ",AST,U18 Crvena Zvezda Belgrade,2,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,07:37,"COPIC, MILOS",PF,U18 Crvena Zvezda Belgrade,2,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,07:37,"MIRKOVIC, ZIVKO",PFRec,U18 Partizan Mozzart Bet Belgrade,2,2,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","PRELEVIC, MATIJA","SIJARIC, DARIS"
1,07:29,"SIJARIC, DARIS",2PM,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:13,"NEDELJKOVIC, ALEKSEJ",TOV,U18 Crvena Zvezda Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:11,"ISAILOVIC, STEFAN",STL,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:06,"ISAILOVIC, STEFAN",2PA,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:06,"ISAILOVIC, STEFAN",BLKRec,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:04,"STOJKOVIC, LAZAR",BLK,U18 Crvena Zvezda Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:04,"SIJARIC, DARIS",OREB,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:04,"SIJARIC, DARIS",TOV,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,07:04,"PAVLOVIC, NOVAK",STL,U18 Crvena Zvezda Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:51,"LUCIC, ANDREJ",2PA,U18 Crvena Zvezda Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:49,"MIRKOVIC, ZIVKO",DREB,U18 Partizan Mozzart Bet Belgrade,2,4,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:44,"SIJARIC, DARIS",2PM,U18 Partizan Mozzart Bet Belgrade,2,6,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:42,"MIRKOVIC, ZIVKO",AST,U18 Partizan Mozzart Bet Belgrade,2,6,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:20,"COPIC, MILOS",TOV,U18 Crvena Zvezda Belgrade,2,6,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:19,"MIRKOVIC, ZIVKO",STL,U18 Partizan Mozzart Bet Belgrade,2,6,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:16,"MIRKOVIC, ZIVKO",2PM,U18 Partizan Mozzart Bet Belgrade,2,8,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,06:07,"NEDELJKOVIC, ALEKSEJ",2PM,U18 Crvena Zvezda Belgrade,4,8,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:41,"SIJARIC, DARIS",2PM,U18 Partizan Mozzart Bet Belgrade,4,10,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:39,"MIJAILOVIC, UROS",AST,U18 Partizan Mozzart Bet Belgrade,4,10,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:27,"NEDELJKOVIC, ALEKSEJ",2PA,U18 Crvena Zvezda Belgrade,4,10,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:24,"SIJARIC, DARIS",DREB,U18 Partizan Mozzart Bet Belgrade,4,10,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:19,"KOJIC, ALEKSA",2PM,U18 Partizan Mozzart Bet Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:18,"ISAILOVIC, STEFAN",AST,U18 Partizan Mozzart Bet Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:06,"NEDELJKOVIC, ALEKSEJ",3PA,U18 Crvena Zvezda Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:06,"NEDELJKOVIC, ALEKSEJ",BLKRec,U18 Crvena Zvezda Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:06,"MIJAILOVIC, UROS",BLK,U18 Partizan Mozzart Bet Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,05:02,"NEDELJKOVIC, ALEKSEJ",OREB,U18 Crvena Zvezda Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
1,04:58,"LUCIC, ANDREJ",3PA,U18 Crvena Zvezda Belgrade,4,12,"COPIC, MILOS","LUCIC, ANDREJ","NEDELJKOVIC, ALEKSEJ","PAVLOVIC, NOVAK","STOJKOVIC, LAZAR","ISAILOVIC, STEFAN","KOJIC, ALEKSA","MIJAILOVIC, UROS","MIRKOVIC, ZIVKO","SIJARIC, DARIS"
